ID,Organisation,Sector,Subsector,Services Provided,Province,Municipality,Barangay,Status,Beneficiaries,Beneficiary Type,,,,,,,,,
257,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,35,individuals,,,,,,,,,
258,Philippine Red Cross,WASH,Hygiene Promotion,Hygiene Promotion,1035,103502,West Poblacion,Finished,26,individuals,,,,,,,,,
260,Philippine Red Cross,WASH,Non-Food Items,Hygiene Kit (Assorted),1035,103502,West Poblacion,Finished,115,packs,,,,,,,,,
261,Philippine Red Cross,Relief,Food Items,Food Items (Assorted),1035,103502,West Poblacion,Finished,55,packs,,,,,,,,,
277,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
278,Philippine Red Cross,Health,Health,BHCU (Operational),1035,103502,East Poblacion,Finished,,unit,,,,,,,,,
280,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,3,individuals,,,,,,,,,
304,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
312,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,21,individuals,,,,,,,,,
313,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,110,individuals,,,,,,,,,
315,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,2,individuals,,,,,,,,,
316,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,50,individuals,,,,,,,,,
317,Philippine Red Cross,Welfare,RFL,Tracing,1035,103502,West Poblacion,Finished,18,individuals,,,,,,,,,
333,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
337,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,70,individuals,,,,,,,,,
339,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,73,individuals,,,,,,,,,
340,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,4,individuals,,,,,,,,,
342,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,50,individuals,,,,,,,,,
343,Philippine Red Cross,Welfare,RFL,Tracing,1035,103502,West Poblacion,Finished,18,individuals,,,,,,,,,
354,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,36,individuals,,,,,,,,,
360,Philippine Red Cross,Relief,Food Items,Food Items (Assorted),1035,103502,West Poblacion,Finished,116,packs,,,,,,,,,
361,Philippine Red Cross,WASH,Non-Food Items,Hygiene Kit (Assorted),1035,103502,West Poblacion,Finished,116,pcs,,,,,,,,,
377,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
382,Philippine Red Cross,Relief,Non-Food Items,Slippers,1035,103502,West Poblacion,Finished,116,pairs,,,,,,,,,
391,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
394,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,12,individuals,,,,,,,,,
396,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,108,individuals,,,,,,,,,
405,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,140,individuals,,,,,,,,,
411,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
419,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
436,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,6,individuals,,,,,,,,,
437,Philippine Red Cross,Welfare,RFL,Tracing,1035,103502,East Poblacion,Finished,2,individuals,,,,,,,,,
439,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,45,individuals,,,,,,,,,
440,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,9,individuals,,,,,,,,,
442,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,Balut,Finished,3,individuals,,,,,,,,,
443,Philippine Red Cross,WASH,Hygiene Promotion,Hygiene Promotion,1035,103502,West Poblacion,Finished,57,individuals,,,,,,,,,
445,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,3,individuals,,,,,,,,,
452,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,33,individuals,,,,,,,,,
459,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
460,Philippine Red Cross,Welfare,Referral,Welfare Referral,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
473,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,85,individuals,,,,,,,,,
474,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,93,individuals,,,,,,,,,
478,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,74,individuals,,,,,,,,,
480,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
492,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,74,individuals,,,,,,,,,
494,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
508,Philippine Red Cross,Welfare,RFL,Tracing,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
509,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,20,individuals,,,,,,,,,
510,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,5,individuals,,,,,,,,,
511,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,16,individuals,,,,,,,,,
512,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,16,individuals,,,,,,,,,
516,Philippine Red Cross,Relief,Non-Food Items,Kitchen Set,1035,103502,West Poblacion,Finished,210,set,,,,,,,,,
517,Philippine Red Cross,WASH,Non-Food Items,Hygiene Kit,1035,103502,West Poblacion,Finished,210,pcs,,,,,,,,,
518,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Mat),1035,103502,West Poblacion,Finished,210,pcs,,,,,,,,,
519,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Blanket),1035,103502,West Poblacion,Finished,210,pcs,,,,,,,,,
520,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Mosquito Net),1035,103502,West Poblacion,Finished,210,pcs,,,,,,,,,
521,Philippine Red Cross,WASH,Non-Food Items,Jerry Can (10L),1035,103502,West Poblacion,Finished,210,pcs,,,,,,,,,
523,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
524,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,20,individuals,,,,,,,,,
525,Philippine Red Cross,WASH,Hygiene Promotion,Hygiene Promotion,1035,103502,West Poblacion,Finished,113,individuals,,,,,,,,,
530,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,81,individuals,,,,,,,,,
532,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
538,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,26,individuals,,,,,,,,,
540,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,6,individuals,,,,,,,,,
541,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,18,individuals,,,,,,,,,
548,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,18,individuals,,,,,,,,,
549,Philippine Red Cross,Health,Health,BP Taking,1035,103502,East Poblacion,Finished,77,individuals,,,,,,,,,
551,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,20,individuals,,,,,,,,,
552,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,15,individuals,,,,,,,,,
553,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,4,individuals,,,,,,,,,
554,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,East Poblacion,Finished,3,individuals,,,,,,,,,
555,Philippine Red Cross,WASH,Water,Water,1035,103502,East Poblacion,Finished,,liters,,,,,,,,,
560,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,81,individuals,,,,,,,,,
562,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
567,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,32,individuals,,,,,,,,,
571,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,17,individuals,,,,,,,,,
572,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,35,individuals,,,,,,,,,
573,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,15,individuals,,,,,,,,,
583,Philippine Red Cross,Health,Health,BP Taking,1035,103502,East Poblacion,Finished,130,individuals,,,,,,,,,
584,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,15,individuals,,,,,,,,,
585,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,17,individuals,,,,,,,,,
586,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,11,individuals,,,,,,,,,
587,Philippine Red Cross,WASH,Hygiene Promotion,Hygiene Promotion,1035,103502,West Poblacion,Finished,106,individuals,,,,,,,,,
589,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,East Poblacion,Finished,11,individuals,,,,,,,,,
595,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,146,individuals,,,,,,,,,
600,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
601,Philippine Red Cross,Health,Health,BP Taking,1035,103502,East Poblacion,Finished,134,individuals,,,,,,,,,
603,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,16,individuals,,,,,,,,,
607,Philippine Red Cross,Welfare,Referral,Welfare Referral,1035,103502,West Poblacion,Finished,3,individuals,,,,,,,,,
611,Philippine Red Cross,WASH,Water,Water,1035,103502,East Poblacion,Finished,,liters,,,,,,,,,
612,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,68,individuals,,,,,,,,,
615,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,11,individuals,,,,,,,,,
618,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,77,individuals,,,,,,,,,
619,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,24,individuals,,,,,,,,,
621,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,25,individuals,,,,,,,,,
626,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,3,individuals,,,,,,,,,
628,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
629,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,76,individuals,,,,,,,,,
631,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,9,individuals,,,,,,,,,
636,Philippine Red Cross,Health,Health,BP Taking,1035,103502,East Poblacion,Finished,134,individuals,,,,,,,,,
639,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,East Poblacion,Finished,3,individuals,,,,,,,,,
641,Philippine Red Cross,Welfare,RFL,Tracing,1035,103502,West Poblacion,Finished,26,individuals,,,,,,,,,
642,Philippine Red Cross,Welfare,Referral,Welfare Referral,1035,103502,West Poblacion,Finished,3,individuals,,,,,,,,,
652,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,88,individuals,,,,,,,,,
657,Philippine Red Cross,Welfare,RFL,Tracing,1035,103502,West Poblacion,Finished,2,individuals,,,,,,,,,
659,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,4,individuals,,,,,,,,,
662,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,42,individuals,,,,,,,,,
668,Philippine Red Cross,WASH,Water,Water,1035,103502,East Poblacion,Finished,,liters,,,,,,,,,
669,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,65,individuals,,,,,,,,,
670,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,5,individuals,,,,,,,,,
674,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,24,individuals,,,,,,,,,
677,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
684,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,11,individuals,,,,,,,,,
685,Philippine Red Cross,Welfare,RFL,Tracing,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
688,Philippine Red Cross,Welfare,Referral,Welfare Referral,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
689,Philippine Red Cross,Relief,Non-Food Items,Kitchen Set,1035,103502,West Poblacion,Finished,179,set,,,,,,,,,
690,Philippine Red Cross,WASH,Non-Food Items,Hygiene Kit,1035,103502,West Poblacion,Finished,179,pcs,,,,,,,,,
691,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Mat),1035,103502,West Poblacion,Finished,179,pcs,,,,,,,,,
692,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Blanket),1035,103502,West Poblacion,Finished,179,pcs,,,,,,,,,
693,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Mosquito Net),1035,103502,West Poblacion,Finished,179,pcs,,,,,,,,,
694,Philippine Red Cross,WASH,Non-Food Items,Jerry Can (10L),1035,103502,West Poblacion,Finished,179,pcs,,,,,,,,,
695,Philippine Red Cross,Relief,Food Items,Food Items (Assorted),1035,103502,West Poblacion,Finished,174,packs,,,,,,,,,
697,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,102,individuals,,,,,,,,,
700,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,55,individuals,,,,,,,,,
701,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,89,individuals,,,,,,,,,
702,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,2,individuals,,,,,,,,,
704,Philippine Red Cross,WASH,Hygiene Promotion,Hygiene Promotion,1035,103502,West Poblacion,Finished,175,individuals,,,,,,,,,
708,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
721,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,52,individuals,,,,,,,,,
722,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,10,individuals,,,,,,,,,
723,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
725,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,6,individuals,,,,,,,,,
727,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,30,individuals,,,,,,,,,
730,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,10,individuals,,,,,,,,,
731,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,60,individuals,,,,,,,,,
735,Philippine Red Cross,Welfare,Referral,Welfare Referral,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
736,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,1,individual,,,,,,,,,
737,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
738,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,East Poblacion,Finished,3,individuals,,,,,,,,,
739,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,West Poblacion,Finished,1,individual,,,,,,,,,
758,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,143,individuals,,,,,,,,,
759,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,16,individuals,,,,,,,,,
761,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,3,individuals,,,,,,,,,
762,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,24,individuals,,,,,,,,,
763,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,63,individuals,,,,,,,,,
764,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,East Poblacion,Finished,9,individuals,,,,,,,,,
765,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,5,individuals,,,,,,,,,
766,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,62,individuals,,,,,,,,,
767,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,20,individuals,,,,,,,,,
771,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,7,individuals,,,,,,,,,
772,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,13,individuals,,,,,,,,,
775,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
777,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,19,individuals,,,,,,,,,
778,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,21,individuals,,,,,,,,,
779,Philippine Red Cross,WASH,Water,Water,1035,103502,East Poblacion,Finished,,liters,,,,,,,,,
780,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,58,individuals,,,,,,,,,
781,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,East Poblacion,Finished,5,individuals,,,,,,,,,
782,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,2,individuals,,,,,,,,,
785,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,187,individuals,,,,,,,,,
786,Philippine Red Cross,WASH,Hygiene Promotion,Hygiene Promotion,1035,103502,West Poblacion,Finished,139,individuals,,,,,,,,,
787,Philippine Red Cross,Welfare,Referral,Welfare Referral,1035,103502,West Poblacion,Finished,2,individuals,,,,,,,,,
791,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
792,Philippine Red Cross,WASH,Hygiene Promotion,Hygiene Promotion,1035,103502,West Poblacion,Finished,90,individuals,,,,,,,,,
793,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,West Poblacion,Finished,2,individuals,,,,,,,,,
794,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,108,individuals,,,,,,,,,
795,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,118,individuals,,,,,,,,,
810,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,21,individuals,,,,,,,,,
811,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,East Poblacion,Finished,6,individuals,,,,,,,,,
812,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,66,individuals,,,,,,,,,
813,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,East Poblacion,Finished,3,individuals,,,,,,,,,
814,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,1,individual,,,,,,,,,
816,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,70,individuals,,,,,,,,,
817,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
820,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,21,individuals,,,,,,,,,
821,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,21,individuals,,,,,,,,,
822,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,54,individuals,,,,,,,,,
823,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,54,individuals,,,,,,,,,
831,Philippine Red Cross,WASH,Hygiene Promotion,Hygiene Promotion,1035,103502,West Poblacion,Finished,168,individuals,,,,,,,,,
838,Philippine Red Cross,WASH,Non-Food Items,Hygiene Kit,1035,103502,West Poblacion,Finished,174,pcs,,,,,,,,,
839,Philippine Red Cross,WASH,Non-Food Items,Jerry Can (10L),1035,103502,West Poblacion,Finished,174,pcs,,,,,,,,,
840,Philippine Red Cross,Relief,Non-Food Items,Kitchen Set,1035,103502,West Poblacion,Finished,174,set,,,,,,,,,
841,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Blanket),1035,103502,West Poblacion,Finished,174,pcs,,,,,,,,,
842,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Mat),1035,103502,West Poblacion,Finished,174,pcs,,,,,,,,,
843,Philippine Red Cross,Relief,Non-Food Items,Sleeping Kit (Mosquito Net),1035,103502,West Poblacion,Finished,174,pcs,,,,,,,,,
844,Philippine Red Cross,Relief,Food Items,Food Items (Assorted),1035,103502,West Poblacion,Finished,174,packs,,,,,,,,,
845,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,East Poblacion,Finished,13,individuals,,,,,,,,,
846,Philippine Red Cross,Health,Health,Health Care (BHCU),1035,103502,East Poblacion,Finished,48,individuals,,,,,,,,,
847,Philippine Red Cross,Health,Transport,Ambulance Transport,1035,103502,East Poblacion,Finished,7,individuals,,,,,,,,,
848,Philippine Red Cross,Health,Referral,Health Referral,1035,103502,East Poblacion,Finished,6,individuals,,,,,,,,,
850,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,132,individuals,,,,,,,,,
851,Philippine Red Cross,WASH,Water,Water,1035,103502,West Poblacion,Finished,,liters,,,,,,,,,
855,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,76,individuals,,,,,,,,,
856,Philippine Red Cross,Welfare,PSS,Psychosocial Support,1035,103502,West Poblacion,Finished,38,individuals,,,,,,,,,
857,Philippine Red Cross,Welfare,RFL,I am Alive Call,1035,103502,West Poblacion,Finished,25,individuals,,,,,,,,,
